Symbol,Name,Price,Date
PETR4,PETROBRAS PN N2,23.05,2023-01-04
PETR3,PETROBRAS ON N2,26.23,2023-01-04
BRAP4,BRADESPAR PN EJ N1,29.84,2023-01-04
BRKM5,BRASKEM PNA N1,22.41,2023-01-04
MRFG3,MARFRIG ON NM,8.35,2023-01-04
GOAU4,GERDAU MET PN N1,13.03,2023-01-04
QUAL3,QUALICORP ON NM,6.04,2023-01-04
CMIN3,CSNMINERACAOON EJ N2,3.98,2023-01-04
GGBR4,GERDAU PN N1,29.38,2023-01-04
PETR4,PETROBRAS PN N2,23.05,2023-01-04
PETR3,PETROBRAS ON N2,26.23,2023-01-04
BRAP4,BRADESPAR PN EJ N1,29.84,2023-01-04
BRKM5,BRASKEM PNA N1,22.41,2023-01-04
MRFG3,MARFRIG ON NM,8.35,2023-01-04
GOAU4,GERDAU MET PN N1,13.03,2023-01-04
QUAL3,QUALICORP ON NM,6.04,2023-01-04
CMIN3,CSNMINERACAOON EJ N2,3.98,2023-01-04
GGBR4,GERDAU PN N1,29.38,2023-01-04
PETR4,PETROBRAS PN N2,23.05,2023-01-04
PETR3,PETROBRAS ON N2,26.23,2023-01-04
BRAP4,BRADESPAR PN EJ N1,29.84,2023-01-04
BRKM5,BRASKEM PNA N1,22.41,2023-01-04
MRFG3,MARFRIG ON NM,8.35,2023-01-04
GOAU4,GERDAU MET PN N1,13.03,2023-01-04
QUAL3,QUALICORP ON NM,6.04,2023-01-04
CMIN3,CSNMINERACAOON EJ N2,3.98,2023-01-04
GGBR4,GERDAU PN N1,29.38,2023-01-04
